stain_condition,tss,rgb_mean_r_mean,rgb_mean_r_std,rgb_mean_g_mean,rgb_mean_g_std,rgb_mean_b_mean,rgb_mean_b_std,rgb_std_r_mean,rgb_std_r_std,rgb_std_g_mean,rgb_std_g_std,rgb_std_b_mean,rgb_std_b_std,lab_mean_l_mean,lab_mean_l_std,lab_mean_a_mean,lab_mean_a_std,lab_mean_b_mean,lab_mean_b_std,lab_std_l_mean,lab_std_l_std,lab_std_a_mean,lab_std_a_std,lab_std_b_mean,lab_std_b_std
raw,EW,207.2542648398599,15.188608936314536,177.2571740996006,21.776172957506464,197.2091685672139,15.392296097887895,32.8640960719062,7.4822114859835605,43.57125409201244,7.742387865713566,35.48700080397617,6.580829241740691,191.75990705157434,18.37370760911069,142.72395189279734,4.639744530653254,122.07090567433556,2.8176646345200114,37.81555678662024,7.32923322890726,8.184621582415666,1.637417666676996,4.044039530189272,1.021215776796437
raw,GI,207.03583753108978,13.699889922417897,160.29759946465492,18.687599183618037,185.49949806928635,9.720519187347124,34.78730160255627,3.716054284269469,48.02894292045349,4.774272396480287,40.34318941749635,3.6498839875599414,180.76241219043732,16.095953011659233,149.78614315390587,3.579358409748608,122.23824667930603,4.3025489762359435,40.91047593447757,1.3136908840428452,10.738154751608567,2.4117570988093884,4.186458505184231,0.4409752586469643
raw,GM,206.1118587945637,13.080570326974037,167.65755994382658,13.591784302682422,189.84862101078033,10.869310027206497,32.94906848552673,6.949367287119894,44.63669943198728,6.912854056600744,36.175200697425545,5.529919083922777,185.1548360492054,11.69381369809511,146.26920006149695,4.16765582995062,122.28520789585616,2.978665130472888,38.382942161917626,6.395243809548417,9.307844812739836,2.3605668414972807,4.480172799446612,1.09855496976197
raw,HN,207.25767371058464,1.6439143503728413,166.37507858872414,14.108843448770559,190.24752247333527,14.68902975826043,31.45525284803267,0.21978715440312005,36.038600785321826,4.0547380872279035,28.67389731350659,5.268871857290288,184.76211214065552,9.258090456100264,147.3787024319172,5.895570332682263,121.73262801766396,3.0563188857141115,32.15240524774258,3.034358608733183,6.432599133608157,1.4107215281456855,4.649133860596042,1.0214101632465669
raw,JL,207.24375694990158,15.345660462145966,165.91314440965652,32.1465275230511,184.36500117182732,26.710747781779993,29.84691092918192,3.4811334184098186,46.5966630419516,7.07846644052679,39.0438246617623,7.580403091972872,184.10689496994019,25.29875717063791,146.76522400975227,7.61215760885858,125.07102504372598,0.4892485832688265,38.76661760262884,5.635641467004703,9.883812045970249,1.5268031950411523,2.890235428981107,0.09416976185021429
raw,LD,186.54860199689864,29.895587280465474,164.3732102751732,29.047366591722724,188.1990849494934,21.199617885531705,40.481078099302785,7.538551277226912,42.89100532089732,7.084573312711957,36.44082201347747,6.164315118570955,177.41293820142747,27.694698404161773,140.95070085525512,2.6848313649729345,118.47728374004365,4.624374835335383,40.36392528759934,7.34190336777887,6.361521265613649,1.3001576827569432,4.797279205853677,0.8729641859126143
raw,LL,188.28770632492868,20.203466215128795,150.96098286227175,25.371472746661606,183.85998028203062,16.38649342335176,40.04885795254995,5.4241611419428075,48.904519626030435,6.2981599822491745,38.84804322167817,4.370492001096429,169.69974282227065,21.715060319466282,148.1917510879667,6.204391495320739,116.44487137857236,4.808467425487258,43.22574079546778,5.1292791421234005,10.039801165045352,2.0729458339363482,5.5623267192604615,0.8851515338904207
raw,LQ,206.796821475029,,173.9077758193016,,191.92951971292496,,43.78913121714904,,59.23184233153335,,49.04977082222904,,188.97202104330063,,143.61833876371384,,123.62709039449692,,51.27657040908287,,11.720543880552878,,5.186812738055048,
raw,MS,226.349822640419,,189.52058911323547,,214.74989211559296,,36.60513205336605,,42.70446793290665,,34.11087426086361,,205.2599168419838,,145.61239111423492,,120.35123270750046,,37.582010641482384,,8.525446694971485,,5.873021793437905,
raw,OK,224.8395459651947,,185.26811611652371,,202.6304137706757,,25.746733728311742,,39.22594024064456,,32.58983349451841,,201.8183872103691,,145.30689680576324,,124.93280184268951,,31.93079668300608,,9.859719099772091,,2.852076187022652,
