slide_id,tss,stain_condition,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_std_r,rgb_std_g,rgb_std_b,lab_mean_l,lab_mean_a,lab_mean_b,lab_std_l,lab_std_a,lab_std_b,n_patches_used
TCGA-E2-A1L8-01Z-00-DX1.842BF73D-2D64-4ABA-880D-DBE8F4C2AA19,E2,macenko,188.34017860889435,215.3825570344925,233.84135353565216,64.44199883568623,29.953365024720945,21.125715355527955,217.91313296556473,125.71460711956024,117.07701563835144,27.25352239321252,14.426251470482564,8.106046620254876,256
TCGA-E2-A1L9-01Z-00-DX1.F2CC1036-8EEE-4664-962E-541B8ACB10DE,E2,macenko,206.84246629476547,211.54629522562027,229.45807552337646,51.91519849329128,26.77028158889781,20.164451156778977,217.69479125738144,131.46972680091858,119.38786494731903,23.994847478435016,12.401344440766163,7.038723772080742,256
TCGA-E2-A1LA-01Z-00-DX1.AE49E943-B830-4ED9-B09E-E499441BC2EC,E2,macenko,199.86104679107666,212.31232166290283,230.74801063537598,55.34525780362438,31.99985238610931,22.27608398779618,217.1195872426033,129.0965240597725,118.3324688076973,27.008887729487256,15.850821098674226,6.955337154607139,256
TCGA-E2-A1LB-01Z-00-DX1.B4AFDB08-BA09-4F6E-806E-4054B790AB8E,E2,macenko,205.89433455467224,224.27430814504623,237.4971234202385,51.52693800294927,29.3942042496804,20.85617430329044,226.24748891592026,126.17569154500961,120.12645024061203,26.183092210051385,11.836056907765844,6.824770800523813,256
TCGA-E2-A1LE-01Z-00-DX1.22856B2A-FBAA-4530-AEEC-E8F77BDA7F7F,E2,macenko,194.9167559146881,216.55569344758987,232.83527839183807,55.26262355143525,29.684519422688393,22.2370810380928,219.0266740322113,125.65451991558075,118.29807806015015,26.241709002559944,14.28795599346162,6.566685664394245,256
TCGA-E2-A1LG-01Z-00-DX1.8ff0fdd8-e5d5-4ff8-8707-4a760aaa5d36,E2,macenko,206.74646335840225,219.65482848882675,234.42602676153183,50.67718504062354,30.484213570686137,21.46373434656009,223.06965202093124,127.9799434542656,119.90691196918488,26.32165998228507,13.139637367785237,6.712591531679204,256
TCGA-E2-A1LH-01Z-00-DX1.F85384B7-1EBF-4F57-A45B-4A668B68E535,E2,macenko,204.08066099882126,220.30177050828934,235.77952539920807,55.23784351184853,30.349392755550742,21.223626079531577,223.3931486606598,127.56507951021194,119.36887085437775,26.85610804170978,12.895156542791911,7.340843139917305,256
TCGA-E2-A1LI-01Z-00-DX1.503dd2fa-23ef-4b11-8aab-301e069eaa88,E2,macenko,224.0491300225258,227.29172098636627,238.5765471458435,44.61304019268827,31.16733763389184,20.815463472738227,231.0859898328781,129.84792697429657,122.50705850124359,26.445907871112258,11.706124559766433,6.505730486513008,256
TCGA-E2-A1LK-01Z-00-DX1.5EBAA1F4-F1B4-4938-A51F-0246621BB0ED,E2,macenko,190.43845969438553,214.62017983198166,233.11212372779846,61.37405126826036,29.198923356088194,20.795684854593723,217.7807521224022,126.52020001411438,117.40411472320557,26.01525585310551,14.81422350593898,7.519072345025308,256
TCGA-E2-A1LL-01Z-00-DX1.D1AA1613-902C-4579-9612-48A76042B0AE,E2,macenko,180.627843439579,206.65742242336273,228.9582571387291,62.764117773950325,28.641183820577268,21.772215889004524,210.43298435211182,126.54772967100143,115.2468484044075,25.655667410614363,15.957080496329231,7.317380711477286,256
TCGA-E2-A1LS-01Z-00-DX1.9a43a58a-df40-4375-8456-ef0071bc9eb9,E2,macenko,212.28479140996933,221.2747472524643,235.17783707380295,50.18285613438934,28.95442676220056,20.632566190557064,225.11971133947372,128.9070793390274,120.73435020446777,25.280468753727362,12.720136058973234,6.594487813612836,256
TCGA-E2-A2P5-01Z-00-DX1.375B5E5D-D8D0-425C-9163-6DF26E31BBE1,E2,macenko,191.9908003807068,213.48156130313873,231.17082715034485,57.21082956988763,28.00618286639397,21.767001579732447,216.52674651145935,126.20640885829926,117.69857889413834,25.300722804072535,14.165278089885732,6.891214201761082,256
TCGA-E2-A2P6-01Z-00-DX1.9D8060AA-881F-49FF-AEF5-B40A3625A44A,E2,macenko,211.02992022037506,222.91701418161392,236.47556656599045,48.22343230888308,30.777104086713557,21.549989011669474,225.82318848371506,127.68692028522491,120.4430827498436,26.982069119171445,12.028117898510384,6.603737613421528,256
TCGA-E2-A3DX-01Z-00-DX1.75094CA2-CE51-4886-A564-BD10043A6E4C,E2,macenko,215.37539386749268,227.05367195606232,238.8159122467041,48.30940187000258,28.23044923377724,19.926739692323398,229.88207256793976,128.05843394994736,121.63166409730911,24.510399303716298,11.724035957457419,6.229476453628694,256
TCGA-E2-A56Z-01Z-00-DX1.EC28E279-B869-4485-A19F-C732D4CCD374,E2,macenko,229.93738770484924,222.572311937809,234.27782374620438,37.89548316969853,28.17232598735804,20.726224705009408,229.00775825977325,133.51742792129517,123.60241627693176,23.108974943472536,10.192861528908493,4.245986536320215,256
TCGA-E2-A570-01Z-00-DX1.64E5F2CA-9396-40DC-A300-04A54657BDE6,E2,macenko,213.92434352636337,220.36300665140152,235.7079843878746,46.12799073381323,30.134409597766133,20.56471289511854,225.08505249023438,130.33603912591934,120.44777125120163,25.48356297101379,12.61117264810656,6.506221609589889,256
TCGA-E2-A573-01Z-00-DX1.D6633BC2-524D-4153-952F-6B1D8D067370,E2,macenko,224.2178960442543,222.95099401474,236.17204999923706,42.701944220148974,32.27938419206734,21.48695409535663,228.19621020555496,131.65791404247284,122.08804434537888,26.622460628736114,12.560409727059504,6.335959992401299,256
TCGA-E2-A574-01Z-00-DX1.60341091-B118-4F20-9ADB-FB2886790B0E,E2,macenko,229.98745727539062,228.7989862561226,239.37571251392365,36.75232182323012,28.93748629042022,19.77292966188541,232.96785074472427,130.83880043029785,123.22068333625793,24.44269001165132,9.911693426804513,5.807017606349268,256
TCGA-E2-A576-01Z-00-DX1.2E045763-7EB0-48F5-8C47-E4B84287D739,E2,macenko,205.71424454450607,221.85476171970367,236.57593780755997,63.53546120185171,28.496958030268683,19.732064674871967,225.54289478063583,128.61086773872375,120.22853225469589,25.49692005106543,13.440869191157757,7.957313785527641,256
TCGA-E2-A9RU-01Z-00-DX1.A06BE284-B9DC-4B45-A202-A9D027AEEDD9,E2,macenko,193.3875693678856,213.4414741396904,231.88972061872482,69.80753551737963,26.40467534168037,20.211577544812595,217.85475170612335,128.41866654157639,118.12458574771881,24.624773730869602,14.701031615690564,7.853507253178721,256
TCGA-E9-A1N3-01Z-00-DX1.608fb360-17bf-4f85-b090-b8fc867831a3,E9,macenko,158.26161891222,209.45844608545303,230.66080421209335,80.47266885381075,28.931865722204336,21.116166468453,210.487062394619,121.32984608411789,114.28277707099915,25.10681015565806,19.569473421109333,7.927334534898722,256
TCGA-E9-A1N4-01Z-00-DX1.71c8d4a5-ec99-4012-9fe2-ddb3349ad5bc,E9,macenko,161.36734810930938,210.1765291115983,230.74004837458313,80.50755290887248,29.18707449003675,21.116455348371016,211.67934113151944,122.27199666019484,114.96882267526016,25.45524207568829,18.89355687519368,8.317902444835472,253
TCGA-E9-A1N5-01Z-00-DX1.94DE7B4B-3798-4CC2-8A64-77796A58821A,E9,macenko,185.80560111999512,219.61546385288239,234.98437470197678,71.65387408268035,28.600228589270294,20.43037249765638,220.91570127010345,123.7063957452774,118.24216467142105,25.68790151167012,16.018842142030962,7.995055348774292,256
