slide_id,tss,stain_condition,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_std_r,rgb_std_g,rgb_std_b,lab_mean_l,lab_mean_a,lab_mean_b,lab_std_l,lab_std_a,lab_std_b,n_patches_used
TCGA-E9-A1R6-01Z-00-DX1.59770592-498A-47EA-AE32-42AC1D8E99BE,E9,staingan,218.6558221578598,171.02332001924515,190.98248291015625,24.567722877831567,39.62893567532918,32.207911718723764,191.21457648277283,148.96378308534622,125.32377398014069,31.92133152403232,10.152688501909383,3.915846726764439,256
TCGA-E9-A1R7-01Z-00-DX1.af9ff432-440e-44ac-bc33-298f5db9a706,E9,staingan,206.205271422863,152.62983560562134,182.88649970293045,29.17981629040252,36.49079074798649,30.47612114169633,176.03423017263412,153.06066352128983,120.69427651166916,31.220113761459466,8.619547759223035,4.79590848992175,256
TCGA-E9-A1RA-01Z-00-DX1.E1C527C3-EDF2-442A-80FE-3E3AFBC5EF5A,E9,staingan,198.97108536958694,152.88635343313217,180.6300020813942,30.94177647676951,39.28520888207694,32.019297560855414,173.52876371145248,150.12314587831497,120.43607711791992,34.50223792472348,7.67904302334084,4.369070241979324,256
TCGA-E9-A1RB-01Z-00-DX1.845074ea-43bc-4752-9dc0-fca72d2ab5de,E9,staingan,214.19577658176422,172.68784940242767,194.02319657802582,23.78050919596688,33.065212773514936,26.83848343786412,190.67320483922958,146.97606146335602,123.16629511117935,28.025441208861192,7.5728184672667265,3.2831856331344835,256
TCGA-E9-A1RC-01Z-00-DX1.8e1008da-b17b-4096-a070-f536fe8ce52d,E9,staingan,217.3085914850235,158.65846574306488,184.34900051355362,22.729017246042826,32.56656929378932,26.179289903040424,182.77009665966034,153.9042655825615,123.81060737371445,26.67667018696704,8.844569724036937,3.581004510084983,256
TCGA-E9-A1RD-01Z-00-DX1.34083668-cbd2-4610-b857-d50ee9f3e5bd,E9,staingan,196.0129508972168,147.90786111354828,181.09910225868225,32.40446642421492,35.44185182159411,29.599521877110362,170.01541763544083,151.6905328631401,117.9685583114624,32.249485697554455,6.238879019895016,4.790650068229731,256
TCGA-E9-A1RE-01Z-00-DX1.fd100503-ba95-4af8-8e59-689b2cea145c,E9,staingan,180.11800503730774,138.54103207588196,172.6974340081215,32.64195414695444,37.44118078844419,31.1705262623027,158.99201732873917,150.02861112356186,116.17687386274338,34.26948962107185,6.285160015065551,4.591106156196108,256
TCGA-E9-A1RF-01Z-00-DX1.ee37dfd4-1431-4e80-bd7e-3e1f878273e0,E9,staingan,195.87664598226547,152.44980090856552,186.7492772936821,30.06941027114446,34.20603938830781,27.338593074203047,172.97470033168793,150.20075339078903,116.46733832359314,30.91343525307748,5.842833336894181,4.188990149667231,256
TCGA-E9-A1RG-01Z-00-DX1.044C235A-75AE-4C7D-AC7F-56C8E64354AA,E9,staingan,205.721346616745,163.45055389404297,189.27452325820923,25.078859841872866,33.133020582320476,26.262744128722485,182.63462978601456,148.2063953280449,120.97913068532944,28.399118773375257,7.1272945250127036,3.972849678371058,256
TCGA-E9-A1RH-01Z-00-DX1.CC9CEDCC-7BF2-4C96-A0F1-C98071DA2CD3,E9,staingan,223.53255105018616,193.51685374975204,208.25624358654022,22.28962516121234,34.41890512263668,27.58928348242315,207.0423328280449,141.5836009979248,125.07781845331192,28.309488040274786,8.151786137638638,3.3648929526719407,256
TCGA-E9-A1RI-01Z-00-DX1.3259644B-0888-4B18-B16F-397D55167EAD,E9,staingan,211.4846235513687,163.36961388587952,188.74573850631714,28.72283877034847,41.00122809465897,33.00466539472463,184.28425097465515,150.14951598644257,122.31850808858871,34.2993008557334,9.27672361782148,4.453259835821894,256
TCGA-E9-A226-01Z-00-DX1.14f1f4c7-4e6e-4574-af20-60d2ab511b2a,E9,staingan,213.89637130498886,163.52226096391678,194.24974262714386,26.56428180591746,36.654205831283505,28.87342485720333,185.44937086105347,151.79805648326874,119.87202024459839,30.570510543939015,9.038898260561286,4.11569360001049,256
TCGA-E9-A227-01Z-00-DX1.823062BF-3444-489B-AF91-AAD4ECAA1DC7,E9,staingan,203.4012862443924,141.993578851223,184.70651805400848,29.001700286132575,37.90637667544494,30.235409578442425,168.97958570718765,158.08932209014893,115.40655726194382,32.21266680100904,8.13554213662189,4.0954689203496395,256
TCGA-E9-A228-01Z-00-DX1.adbeed20-3b14-44fe-a98a-3bf7cecea30a,E9,staingan,224.82983672618866,181.8454082608223,202.35795563459396,20.522224116987562,36.36719059486726,28.143278691328064,199.9722707271576,147.18039447069168,124.01406067609787,28.64815840360447,9.767391447956365,2.6952218864399864,256
